ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"27.191.60.153","elite","AS4134","CN","Chinanet","215","Chinanet HE","3256","socks4","4705","1","2023-10-20T12:52:47.148Z","79","3543","4496"
"170.244.64.12","elite","AS266492","BR","Flash Servicos EM Fibra Optica Ltda - ME","191","Flash Servicos EM Fibra Optica Ltda - ME","31476","socks4","27407","1","2023-10-20T12:52:47.154Z","100","4477","4491"
"177.38.5.134","elite","AS52964","BR","F?BIO MENDES DIAS LTDA ME","296","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4991","1","2023-10-20T12:52:47.151Z","97","4258","4390"
"182.53.96.140","elite","AS23969","TH","TOT Public Company Limited","192","TOT Public Company Limited","4153","socks4","4890","1","2023-10-20T12:52:42.445Z","99","4356","4381"
"188.165.201.173","elite","AS16276","FR","OVH SAS","5","OVH ISP","51102","socks5","4912","1","2023-10-20T12:52:42.548Z","100","4437","4437"
"202.182.70.189","elite","AS7018","US","AT&T Services, Inc.","85","CABLE & FIBERLINK","13996","socks4","1105","1","2023-10-20T12:52:42.550Z","83","3683","4448"
"223.155.121.75","elite","AS4134","CN","Chinanet","291","Chinanet HN","3128","socks4","4886","1","2023-10-20T12:52:42.438Z","83","3709","4495"
"183.89.9.20","elite","AS45629","TH","Triple T Broadband Public Company Limited","210","Triple T Broadband Public Company Limited","4153","socks4","5088","1","2023-10-20T12:52:42.534Z","97","4328","4445"
"202.166.192.84","elite","AS17501","NP","WorldLink Communications","284","N/A","5678","socks4","5012","1","2023-10-20T12:52:37.738Z","99","4390","4432"
"103.214.112.85","elite","AS136052","ID","PT Cloud Hosting Indonesia","289","PT Denbe Anugerah Solusindo","32323","socks5","3103","3","2023-10-20T12:52:37.734Z","50","2154","4289"
"103.137.8.98","elite","AS138824","ID","STARTEL","186","N/A","4153","socks4","1285","2","2023-10-20T12:52:37.837Z","97","4362","4486"
"213.6.33.110","elite","AS12975","PS","Palestine Telecommunications Company","58","Palestine Telecommunications Company","4145","socks4","4796","1","2023-10-20T12:52:33.148Z","99","4374","4422"
"66.42.60.190","elite","AS20473","SG","Choopa","198","N/A","21358","socks5","5596","1","2023-10-20T12:52:33.046Z","88","3910","4438"
"45.14.105.178","elite","AS3258","JP","Owl Limited","393","365 Group LLC","45403","socks4","5602","1","2023-10-20T12:52:33.134Z","5","203","4397"
"149.20.253.77","elite","AS18615","US","Mainstream Fiber Networks, LLC","183","Mainstream Fiber Networks, LLC","12551","socks4","4314","1","2023-10-20T12:52:33.150Z","100","4354","4364"
"177.36.185.178","elite","AS53062","BR","Ggnet Telecom Backbone","214","Ggnet Telecom Backbone","5678","socks4","4111","1","2023-10-20T12:52:33.049Z","93","4148","4474"
"138.201.140.125","elite","AS24940","DE","Hetzner Online GmbH","84","Hetzner","15976","socks5","5095","1","2023-10-20T12:52:33.041Z","100","4433","4433"
"83.142.161.30","elite","AS8369","RU","Intersvyaz-2 JSC","66","Intersvyaz-2 JSC","80","socks4","1806","1","2023-10-20T12:52:33.234Z","100","4486","4487"
"45.115.115.145","elite","AS55828","BD","Drik ICT Ltd","195","Drik ICT Ltd","31141","socks4","5004","1","2023-10-20T12:52:33.051Z","97","4356","4505"
"151.232.55.190","elite","AS58224","IR","Iran Telecommunication Company PJS","181","N/A","80","socks4","4810","1","2023-10-20T12:52:28.550Z","64","2855","4463"
"184.174.75.86","elite","AS21769","GB","Colocation America Corporation","145","North Coast Hosting","51724","socks5","4801","1","2023-10-20T12:52:28.547Z","99","4414","4453"
"187.85.154.18","elite","AS53062","BR","Ggnet Telecom Backbone","286","Ggnet Telecom Backbone","5678","socks4","3910","1","2023-10-20T12:52:28.544Z","99","4298","4322"
"178.212.55.57","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","32","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","2203","1","2023-10-20T12:52:28.647Z","97","4374","4498"
"197.211.24.206","elite","AS15399","KE","Wananchi Group (K) LTD","285","Slot Game LTD","5678","socks4","5002","1","2023-10-20T12:52:28.545Z","97","4299","4431"
"168.227.158.13","elite","AS52898","BR","Multipla Serviços Inteligentes","195","Multipla Serviços Inteligentes","4145","socks4","4404","1","2023-10-20T12:52:23.744Z","99","4423","4451"
"23.227.38.230","elite","AS13335","CA","Cloudflare, Inc.","2","Shopify, Inc.","13335","socks5","3189","1","2023-10-20T12:52:23.840Z","100","4464","4465"
"222.129.36.1","elite","AS4808","CN","China Unicom Beijing Province Network","181","N/A","4145","socks4","5007","1","2023-10-20T12:52:23.838Z","81","3550","4399"
"202.153.91.165","elite","AS24077","HK","Telekom Malaysia (Hong Kong) Ltd.","216","Telekom Malaysia (Hong Kong) Ltd","1080","socks4","4611","1","2023-10-20T12:52:23.834Z","99","4398","4439"
"168.138.162.66","elite","AS31898","SG","Oracle Corporation","323","Oracle Public Cloud","1080","socks4","5097","1","2023-10-20T12:52:23.836Z","71","3070","4352"
"103.24.21.1","elite","AS150576","IN","Zyetek Telecom Private Limited","144","Voip Communications PVT LTD","5678","socks4","1617","83","2023-10-20T12:52:19.047Z","85","3874","4539"
"179.107.51.78","elite","AS263284","BR","Maxximo Informatica E Telecomunicacao Ltda","295","Maxximo Informatica E Telecomunicacao Ltda","4153","socks4","4689","1","2023-10-20T12:52:18.940Z","84","3718","4450"
